Location,pop2019,pop2020
Saint Vincent,110592,110947
San Marino,33864,33938
Sao Tome,215048,219160
Saudi Arabia,34268529,34813867
Senegal,16296362,16743930
Serbia,8772228,8737370
Seychelles,97741,98340
Sierra Leone,7813206,7976985
Singapore,5804343,5850343
Slovakia,5457012,5459643
Viet Nam,96462108,97338583
Slovenia,2078654,2078932
Somalia,15442906,15893219
South Africa,58558267,59308690
Zimbabwe,14645473,14862927
Spain,46736782,46754782
South Sudan,11062114,11193729
Sudan,42813237,43849269
Western Sahara,582458,597330
Suriname,581363,586634
Eswatini,1148133,1160164
Sweden,10036391,10099270
Switzerland,8591360,8654618
Sriya,17070131,17500657
Tajikistan,9321023,9537642
Thailand,69625580,69799978
Togo,8082359,8278736
Tokelau,1330,1350
Tonga,104497,105697
Trinidad & Tobago,1394969,1399491
U.A Emirates,9770526,9890400
Tunisia,11694721,11818618
Turkey,83429607,84339067
Turkmenistan,5942094,6031187
T.C.I,38194,38718
Tuvalu,11655,11792
Uganda,44269587,45741000
Ukraine,43993643,43733759
North Macedonia,2083458,2083380
Egypt,100388076,102334403
United Kingdom,67530161,67886004
Channel Islands,172264,173859
Isle of Man,84589,85032
Tanzania,58005460,59734212
USA,329064917,331002647
U.S Virgin Islands,104579,104422
Burkina Faso,20321383,20903278
Uruguay,3461731,3473727
Uzbekistan,32981714,33469199
Venezuela,28515828,28435943
Wallis and Futuna,11436,11245
Samoa,197093,198410
Yemen,29161922,29825967
Zambia,17861034,18383956
World,7713468205,7794798729

